Δ Founding Member	Ethereum Address	Genesis Sentence 🌝	MVT (Movement Token) Balance	Movement Activity	Bitcointalk Rank	Spheres	Vote #00001	Media	Greenpoint	Contributor	Ambassador
Name	Status: Distributed	Connect and Create ～ The Movement DAO. 2017 Sunday August 6.	{(3,000,000 / (557 * Δrank)) * (Δactivity + boni)} Finalized: all founding participants receive a final 55% bonus to reach 2,700,000 MVT	Idler 0.5, Mover 1, Contributor 1.75, Ambassador 2	Newbie 2, Junior 1.75, Member 1.5, Full Member 1, Senior Member 0.9, Hero 0.8, Legendary 0.7 	Decentralized Communities	15th August 2017, Milestone: Consensus Reached 364 Valid Votes => 1731 Max Participants => Genesis Participant Application ends on August 31, 2017.	Forum URL/Sig or Avatar Bonus, Activity +5%	Github Support +5%	Bonus 30%	Bonus 70%
levelten	0x85AFfC26596D43f194E08a1322B94babC055fd8A	The First Genesis PM for The Movement DAO	8348	1	Full Member		#1 Airdrop Closing Date Proposal: 31.9.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
Lipe490	0x00BC2077E8fA2403100c86bAE5b38652e36C29c7	They trying to build a prison, for you and me to live in!	1392	No Vote	Senior Member						
TimeTeller	0xd1bE7b2A693cC11bAdc87C084A8aDfB73d518211	Hope DAO will turn out like MNE's success in the future.	9275	1	Senior Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 500				
sein	0x0A503597bC447ff10e77c1150406F4C4717A1C9e	Good project dev .. good luck n thanks for airdrop	1252	No Vote	Full Member						
AmoreJaz	0x7Ed213e7e6c107550211116F7f698C34e4345E4B	Participating in the Genesis Collection Phase UNSTOPPABLE ORGANIZATION	10957	1	Hero Member		#1 Airdrop Closing Date Proposal: 07.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
tippytoes	0x36791a6a2709455ff6EcD9c7699d490Bf815FBce	Cheers to the road of DAO's success!	8765	1	Full Member	Sphere Name : Crypto Research Community✓ Description : A group that will do the research for the DAO Movement. Anything about crypto. In such a way that if any member has doubts or some sort of query, this group will do the research for this community and will try to find the answer for each and every question thrown to this group.	#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
zauna35	0xc6fc6835ce16679c89567c0b33604d1e9a71bf99	For peace in the world! В начале бог создал небо и землю! Дев создал токен и запустил его в массы, дев бог!С началом начал нас и да прибудет с нами сила	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
ucliktea	0x453720068FA251B7909BFFE40337BC87B5b0Ba33	amazing genesis can go up congrats tou you and team	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 10-08-2017 #2 Airdrop Participant Hard Cap Proposal: 500 				
skyline_king	0xD921E812e79293C1e037de020375Ad56A7394e96	lets see how well this will work	1392	No Vote	Senior Member						
AndrewBUD	0x8BD37c2b6e820F67A236FA44D958222c87dE5Fcd	I will be back now	1566	No Vote	Hero Member						
gold969	0xFa966fE7C672054BD1A629Ff0b4A5971De2EdCf9	Did not understand anything, but it's very interesting what will come of it, Thank you in advance if you make me rich Grin	1392	No Vote	Senior Member						
Bloodxtz	0xf9f24301713ce954148B62e751127540D817eCcB 	Only two things are infinite — the universe and human stupidity, and I’m not sure about the former	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 500				
Caztiel	0x3407cC7cdCd57C45b190E3407A6506B0e4D9d876	Think Big, Act Smart & Make Difference	4383	0.5	Full Member		#1 Airdrop Closing Date Proposal: 07.08.2017 #2 Airdrop Participant Hard Cap Proposal: 250	✓			
nagatraju	0x1fbbD1CEf775efF433faeDA5cF4729EB4F1c8b5F	Looks different and interesting Project	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.08.2017 #2 Airdrop Participant Hard Cap Proposal: 2500				
tnrmedia	0xaFFbcC6437E2F46fDd5F6d1B4aae521809100Cf8	Anything you want to hear from me	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 10.08.2017 #2 Airdrop Participant Hard Cap Proposal: 1000				
wnfmzm74	0xAEf82eEeA45f02f44d6de1ed519F09C70C25Ab26	如果再给我一个机会爱你，我希望是一万年	1252	No Vote	Full Member						
termion	0x3afF675b2D9B90a5B5c3b7c56D99ed56631FDcCf	What is this red and black	1392	No Vote	Senior Member						
Dlugina23	0x4588911348051a2C949793175Cd313BD98FF21E9	Jestem tylko małym okruszkiem w świecie opanowanym przez zombie.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
koang	0xCdD33f58cf447f861AF8b55e79b20df38FF855fA	No one can not. There are only,those who do not know yet.	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 7-8-2017 #2 Airdrop Participant Hard Cap Proposal: 1000				
kusumadewi	0xa0beA35b33868F02c7D2254902531A14Fe400C4C	Autumn 2017 will be laugh time	1392	No Vote	Senior Member						
rudystyle	0xabbbf2369A36eD6710Fa544cF565D2779D8185A6	This airplane tastes like tofu	9275	1	Senior Member	Sphere Name: Steemit✓ Description: Update information about the DAO movement in steemit.com. Already posted first article 	#1 Airdrop Closing Date Proposal: 31.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
G.Butrik	0x67E7e452a8671eFecb9284c483dE75C3fF1f02A9	All accidents do not happen by accident	4174	0.5	Full Member						
iTradeChips	0x323a991E4C76652B72A454D541fc04BA6fa7EF28	bago man lang magsara ang crypto	10957	1	Hero Member			✓			
kamiyama	0xffd84530Db27CC11d3eBF2B4854e3B2B53609a7E	You must be nice to others	9275	1	Senior Member	Sphere Name: Marketing buzz✓ Description:  social media such as Facebook and Twitter are now the dominant communication channels for marketing buzz.Circulate Movement throughout the world.	#1 Airdrop Closing Date Proposal: 9.8.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
mightybohemoth	0x404925ED3fAF530208Eb3dA6E17aFeF529c9c77b	How The Movement is going to change your Life? It's Already Happening.	22156	1.75	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 2000 		✓	✓	
akai	0xab5e59d69552f0be9afedaf35b1c3edbfbc58fbe	missing you, missed love, you are my heart.	9275	1	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 5000 				
abakr	0xe339bbEcDBDCdc5a92B294688Ab03a2087c2BaF4	Work 24 hours to become successful and rich	1252	No Vote	Full Member						
HopeCrypto	0xa2bF40aFDa304d62Eb3F53feb80d68AdD1DC14e1 	I hope that I go in BITCOIN	1252	No Vote	Full Member						
bitwonder	0xb76C460bE4aAda54d52e4E2eE04E50aB13CfD893	what love got to with it.	4870	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 15-08-17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
jritz2344973	0x3DA4A7A2c89192300696D100204D9007379E4bEc	Storms make trees take deeper roots.	1252	No Vote	Full Member						
Varyg	0x4941bD2749fE514e506ab4fb220C3bB515e99C14	I send your very good message	1392	No Vote	Senior Member						
nndep3m	0xA9a7789aA2E35d15A44bbDDF4f46486230ADA74A	Do not underestimate the sprout even if it's inexperienced and new as one day it will reach the sky with its branches	626	No Vote	Newbie						
Nev.Eternal	0x25273b8c601c6545d574496d3d3478Fa7dc2f57D	hello Have a nice day	835	No Vote	Member						
Wowcoin	0x43C9c5B0638CD9B22fFf8AD69A2091BD50BFd046	we deserve to join for this one	1566	No Vote	Hero Member						
tehMoonwalker	0xFE1E0980044F1cCebfC36ec6A5123CbCD69b15C4	crypto is the future of this world	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 31.09.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
ken thung	0xFa12F962eeA64dd7ddCFee48f045207e68C96025	All the best for your project	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000 				
whitefish	0x0970cBaCbE508a1cF17Ca8B5Fd92C3C7791D47c7	For everything there is a season, and a time for every matter under heaven: a time to be born, and a time to die; a time to plant, and a time to pluck up what is planted; a time to kill, and a time to heal;a time to break down, and a time to build up; a time to weep, and a time to laugh;a time to mourn, and a time to dance; a time to cast away stones, and a time to gather stones together; a time to embrace, and a time to refrain from embracing;a time to seek, and a time to lose; a time to keep, and a time to cast away; a time to tear, and a time to sew; a time to keep silence, and a time to speak; a time to love, and a time to hate; a time for war, and a time for peace.	1252	No Vote	Full Member						
jioy	0xb8a205399ff41145cF45c914b990beFd125e581c	You know my loneliness is only kept for you, my sweet songs are only sung for you	1566	No Vote	Hero Member						
onnz423	0x6Be986582e2C8f5D53B1F8b0e60746B8C169D9c5	The hierarchical mill assorts a democratic bird.	10957	1	Hero Member		#1 Airdrop Closing Date Proposal: 10.10.17 #2 Airdrop Participant Hard Cap Proposal: 1337				
gloupsy	0x047a67dd53C57253dDBd8d5159f10B9432Fef51C	this gonna be launched to the moon	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 20.8.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
arwin100	0xdacA74B362cad300c11d1De5afB5FF23cFdA0373	The revolution of potential altcoins	1566	No Vote	Hero Member						
Dimid	0x4d41fb6bAc936938F03C3cef33D77ED1889320c5	red orange yellow green light blue	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 15.08.2017 #2 Airdrop Participant Hard Cap Proposal: 10000				
szachta	0xf177015d46b43543B68fE39A0eBA974944460F6a	Gdzie dwóch sie bije tam trzeci korzysta.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 12.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
anderson705	0x6A50a1cE49e26c728d4070e9aFE2e75A94a67a1B	i will be there my love	1252	No Vote	Full Member						
CryptoGirl.y	0x192A2C9aE6Fc9a04BB696dBf547E695E8B8EE235	cloud flew across the blue sky	835	0.5	Member		#1 Airdrop Closing Date Proposal: 20.08.2017 #2 Airdrop Participant Hard Cap Proposal: invalid				
Gandame	0xB60A58c9B85fE63A47B6ae0780819c9f575AAfb9	dapat bang maging magaling sa larangan ng trading bago kumita ng bitcoin	1566	No Vote	Hero Member						
SEELE^^01	0x79B4c43E80af7a49D654f9f24966635bDb93D16A	Armageddon all hope in this world!	31222	2	Full Member	Sphere Name: German Community✓ Description: i would like to become an translator and ambassador for german community! :) in that way, i could contribute the most of my time for the movement! i have made a GERMAN TRANSLATION of the ANN THREAD, please feel free to join my Sphere (Participant List #56) and be a part of something beautiful and big! https://bitcointalk.org/index.php?topic=2115837.new#new Sphere Name : Crypto Research Community✓ Description : A group that will do the research for the DAO Movement. Anything about crypto. In such a way that if any member has doubts or some sort of query, this group will do the research for this community and will try to find the answer for each and every question thrown to this group.	#1 Airdrop Closing Date Proposal: 07.08.17 #2 Airdrop Participant Hard Cap Proposal: 6000 	✓	✓		✓
GiovanniDiCosimo	0xff794ff176dde7640064983d8f2b942b12a4ab7d	tongue freezing closing combatant hat	4638	0.5	Senior Member		Airdrop Closing Date Proposal: 15.08.17 Airdrop Participant Hard Cap Proposal: 1500 				
pol5	0xa9d4A2BCBE5B9E0869D70F0fe2e1d6aACd45Edc5	Airdrop i love airdrop very big               :)	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 06.09.17 #2 Airdrop Participant Hard Cap Proposal: 2000				
minerbro	0xef1e002e34a1f56723b5cb43950d5d9d3709f3ab	slogan vacant thunder tornado agree 	1392	No Vote	Senior Member						
sergsen	0x3C75b6D8c222e6Fb6E337215Ac6ea3B9f117abe4	Everyone is the creator of one's own fate	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 09.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
xugzr272186	0x2fE5e7406f993C58a39093ab7b173e9860DfB4DB	God helps those who help themselves. 	1252	No Vote	Full Member						
ultrloa	0x5a6f6208eA707F9F842d38ed7A7af004dBCfADeD	just hit the stone with bullet	1566	No Vote	Hero Member						
MetalEngine	0xdebb3a4c1b757c20975f49b25d32663c33e50399	mickle wordz fubby onion stable root linux compare shit	1566	No Vote	Hero Member						
NetFreak199	0x29c6131DD9F75FcBcD4961e5B707e27d34a3863A	Dreams and dedication are a powerful combination .	1566	No Vote	Hero Member						
esprit577	0x3bf5b11220d91712c17970157db80fb12dba293e	Blockchain is the foundation for changing the world's data, and the future will surely belong to it.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.2017 #2 Airdrop Participant Hard Cap Proposal: 3000				
vingaard	0xD0E09d7bdD9a1316580718ad57bF7b09596ecbEc	perro cenutrio casiopea casandra anibal eva alfa omega 	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000 				
passivebesiege	0x1757d0E52D6D2e308FDb560a78a9AF1424FE7258	if you can dream it you can do it.	1566	No Vote	Hero Member						
Weawant	0x4f83002B1f09D6a21972712c523CE3a6C005558f	Bounty airdrop is amazing things here	1392	No Vote	Senior Member						
seddik	0xaF7424cF0240ae9468ae38cd2CfA9dDD5072b168	A golden key can open any door	8765	1	Full Member	Sphere Name: arab community✓ Description: i would like to become the movement arabic translator and ambassador.	#1 Airdrop Closing Date Proposal: 07.08.2017 #2 Airdrop Participant Hard Cap Proposal: 3000	✓			
mikelove2015	0x96468ff99E5ab54C9780fd68C027C698116158d6	The future in your hands	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 3500				
Rodeo02	0xeeBFd5D8a3B36bB157E0dd2D67a0194674F74a23	i am not what happen to me i am what i choose to become.	4638	0.5	Senior Member		Airdrop Closing Date Proposal: 11.08.17 Airdrop Participant Hard Cap Proposal: 1000				
Lecam	0x33d5b9575b68AFf6E93D1Aab85F8B853bD22A23C	find to google if you don't know the answer 	1392	No Vote	Senior Member						
Nevsky	0x279646BA53f923BE56274a8C1ebB109380c7474E	car status cherry plane multiple	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 850				
Coindgr	0x6083499E52391cbB11a3bD94c50f8DE89E6F2970	one two three four five six	10957	1	Hero Member		#1 Airdrop Closing Date Proposal: 31.12.17 #2 Airdrop Participant Hard Cap Proposal: 3000	✓			
TGD	0xb9528Ccc36cD88ADB4329E43eE22594eBF9e674B	never let go of your dreams .	5217	0.5	Hero Member		Airdrop Closing Date Proposal: 11.08.2017 Airdrop Participant Hard Cap Proposal: 1000				
m_nief	0x7D6DF8556AFEA421f6FE82233AB0Bc9ed8A509f5	i will always love you fitria	1252	No Vote	Full Member						
dimb	0xa7eba7fda7e463c5509519edf03137c57f3ebe73	Quand on aime on ne compte pas	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 250				
Porfirii	0xD0DcB2fbF7134386a312Cdb10C12b9d375846542	The black one has fallen from the sky	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
atchoum6760	0x42AcF658cc5c31BBA8CEa0CDf4306b88308c6330	The conquest spaciale and the temporal journey will be the most beautiful adventures of this century.	11926	1	Legendary	Sphere Name: French Community✓ Description: I want to join #475 DarkTrollCoin French Community as a Member and i will contribute to help The DAO and everyone in need.	#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 3500				
Hassan02  	0xDbA655E888e8F7d7a7CF862cCE46bC89e2E1edDf	every accomplishment starts with the decision too try.	4638	0.5	Senior Member		Airdrop Closing Date Proposal: 10.08.17 Airdrop Participant Hard Cap Proposal: 1500	✓			
AlexSimion	0x4b3Fe742E58fe1030456846B6c108C9A89D33015	Astazi este ziua cea mare	8765	1	Full Member		#1 Airdrop closing date proposal : 15.08.2017 #2 Airdrop Participant hard cap proposal : 1000	✓			
mikeo	0x53C9FC3Bd83b48f4fad692C9Ae7E0a36cf3BEAD8	for love forever interesting job	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 18.08.17 #2 Airdrop Participant Hard Cap Proposal: 1100				
mace15	0x17AD3d8FC464034Be87f53d984c8801E34fe16dD	And the evening and the morning were the sixth day	4638	0.5	Senior Member						
Sindbad	0x0A726EF77Da1fB471b6b72066946c55D9Fa493f4	Leb jeden Tag als wär's dein letzter!	2922	0.5	Member	Sphere Name: Inspire✓ Description: To build a portfolio of the next interesting cryptos	#1 Airdrop Closing Date Proposal: 09.09.17 #2 Airdrop Participant Hard Cap Proposal: 2500 				
Darwin02	0x379E00400e6C4fB0076ef7FEE17c90CdAb35E707	excellence is not being the best it is doing your best.	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 07.08.2017 #2 Airdrop Participant Hard Cap Proposal: 300 participants				
bassbity	0x0b7Ce4a54A4D2FDD9b6dEFcc8895054df3A1d140	Im joined airdrop Dropper thanks	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 15.08.2017 #2 Airdrop Participant Hard Cap Proposal: invalid				
Xenophoto	0xf09Ca610fe87F26FD85592ed8daE37FD30f610fb	Time is gold while gold is mined.	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 06.08.17 #2 Airdrop Participant Hard Cap Proposal: 150				
veves1	0x1383E363EdF19F8Df5dBE9aA59b655A7B2577A08 	page total crave head sea reduce wall	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 25.08.17 #2 Airdrop Participant Hard Cap Proposal: 888				
99percent	0x88ea39CCD5D08D687872B13Ab088b5FD10DC00Ed	can you holding break mind clever	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 16.08.17 #2 Airdrop Participant Hard Cap Proposal: 1500				
sidik7	0xdE259fa36EB36F532C586ea5594FE7929D27D68d 	move and forward to grow and great for succes	1252	No Vote	Full Member						
hackis	0x1711E8dca96244380996a094AC5f8A834F87f57A	Cryptocurrencies is where its all at mate!	23213	1.75	Senior Member	Sphere Name: Czech Sphere/Community✓ Description: Sphere pro českou komunitu DAO Description: I would like to join #425 LifeOfDoge Czech Community as a Member. // Hello everyone, since The Movement has no discord server, I decided to create one. For those who use discord, you can join and discuss anything related to the Movement.  :) Sphere Name: Discord Mod✓ Description: Moderator at Grae's Discord 	#1 Airdrop Closing Date Proposal: 1.09.17 #2 Airdrop Participant Hard Cap Proposal: 2500	✓		✓	
TimereumDev	0x85196Da9269B24bDf5FfD2624ABB387fcA05382B	Look forward to reading more.	5566	1	Member						
tool_462	0xea13C3fC3F5F967A9F62C1789FC9e3Dc7040298c	feeling borrow your black heart in the sky	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 17.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
TaShoKi	0xd398830001acb4197df5f4f6b819d0262b06f01d	ramamba hara mamburu di4b music	9739	1	Senior Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: invalid	✓			
taki183	0x74B369c89c173F9EA1bC454f68a07a6D1fC2444a	who is on duty today	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 13.09.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
btcdee	0xc167cb277ad7a3fed351c7aa74028fd7805d9819	Fear is the path to the dark side	1392	No Vote	Senior Member						
ludbega	0x21F1dF7bC554220D5997e433E3287A12A6Ed5eB7	1 Airdrop reçu vaut mieux que 2 tu l'auras	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
Burmik123	0xCC04C760EbDb9b20DB08ad153437fE1a8673324c	Be fast, be smart, be fair. 	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 11.09.17 #2 Airdrop Participant Hard Cap Proposal: 950				
o48o	0x385752fe6aE7F8bbb2C7b879faDE70F43012aa3E	taloja virta keino saatto palo	1789	No Vote	Legendary						
cleverhope	0x9bCc70BAbC6Bfa788608189d8E2186E397DFc21c	we will create your life together.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 27.09.17 #2 Airdrop Participant Hard Cap Proposal: 800				
richpress	0xa4Ab14001b87DB5342E438DF5F706AbD99e8FEe2	Hello darkness my old friend	8348	1	Full Member		#1 Airdrop Closing Date Proposal: 11.08.17 #2 Airdrop Participant Hard Cap Proposal: 5000				
AicecreaME	0xDB22E8673705c9717f4f33c696eA419D96b6De33	Welcome to the blockchain world	4638	0.5	Senior Member						
Cloudpost	0x015e395aaa541574ea7b33a7803f67374c11c129	I have got a cunning plan.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 30.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
doomistake	0x9A13831aFBCb99c406F89576C48a5C9Be0Fb391e	Bitcoin and other cryptocurrencies price	1566	No Vote	Hero Member						
markus124	0x34773CD431348C495dC525466Bf02b040dC754Cb	markus wild robot forum street	5217	0.5	Hero Member		Airdrop Closing Date Proposal: 13/08/2017 Airdrop Participant Hard Cap Proposal: 500				
viljy	0xC6757a2B8E1fCda85DBaF0Ed45133De95ab8A8c5	правильно мыслить более ценно чем многое знать	8348	1	Full Member	Sphere Name: Russia✓ Description: Posting on the thread and sharing the message	#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 6000				
ihnattm	0x2573571C764A68B485D2D0CBDE1cafE70f7527B7	spot bot snoop cat dog	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 22.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000 				
onlytemporary (miningteam23)	0x3Ec1594D27d56F03A300479432b1242400a3278D	I love Cade so much	8765	1	Full Member		#1 Airdrop Closing Date Proposal: 30.9.17 #2 Airdrop Participant Hard Cap Proposal: 3000	✓			
mike0182	0x4Ae6a8A28c87b75e935a90D6128F2649C969c0D8	I love my wife and daughter	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 28.08.17 #2 Airdrop Participant Hard Cap Proposal: 920				
IeSua	0x001be549fa377710B9e59d57bbdf593CE1e379ca	A wild dog smokes a big red ax	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 12.10.17 #2 Airdrop Participant Hard Cap Proposal: 1500 				
ivan1975	0x5381bA7605A39e93B2F10a5e61150F3Db1CA1985	Nice project good luck devs	5963	0.5	Legendary	Sphere Name: Marketing✓ Description: Marketing in social networks (Twitter, Facebook).	#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
fred1992	0x64cd6447683F8Fa38037765276C72D63CF40F5a7	The Movement DAO joined now	4174	0.5	Full Member	Sphere Name: Social media promotion✓ Description:  I will contribute to the enlightenment of people about that MovementDAO in social media like Twitter, Facebook.	#1 Airdrop Closing Date Proposal: 20.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000 		✓		
Jaroslav2007x	0x1833b49fA333bDae3444940B3409B9F01ab74b8B	Word seagull sea forest horse	9275	1	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
thisappointed	0xc5C731dCf77D2561b7229057fd4aF4C697394474	Can't help fallin' in love	1392	No Vote	Senior Member						
TimeHacker	0x285f03f2bF3B2762ab3562f9656631df12C098d1	TimeHacker is also participating in the DAO airdrop	1252	No Vote	Full Member						
neosone	0xc9e9358b4Fd98CdC2cC82867FdfCa90e43C1fb22	Everything is good for this project.	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 10.10.17 #2 Airdrop Participant Hard Cap Proposal: 3000 				
theunbeatable	0x60792353F15Cc226894Be6EffFC16FdecC532012	Don't miss the golden age of cryptocurrencies, no one can stop the rampaging age of these era.	1252	No Vote	Full Member						
user0000001	0x7F7cD082A08823e88b7935A79860513841c4e65F	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 10.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
oli123	0x84580b51036E01FD1F9C69B70076273655F829b1	It looks like an interesting and new project.	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 10.10.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
2fresh	0x6800ABBc18EAb42B13C2Ab0536a25059771e90aE	We came, we saw, we conquered	9275	1	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
niklasmato	0x7de40b76e2282d0a23e0fac22aced903c44b6ac8	This sentence will be my genesis	8765	1	Full Member	Sphere Name: Information Technology Networking✓ Description: All things related to networking, wireless, switching, routing, linux, etc..	#1 Airdrop Closing Date Proposal: 01.10.17 #2 Airdrop Participant Hard Cap Proposal: 2000		✓		
indo1	0x343347dCAfc272A5ff207fD0455f0Ee8982f3986	saya lebih suka ayam bakar	1392	No Vote	Senior Member						
drm	0xc0dE536aaaF11A76b98e24fbD2496621F2014540	Your life is an occasion. Rise to it.	10957	1	Hero Member		#1 Airdrop Closing Date Proposal: 08.08.2017 #2 Airdrop Participant Hard Cap Proposal: 500				
gost111	0xc921E45a19B2904C3627AC640ed5f0dfe837C7BE	Я готов учавствовать в раздаче	9739	1	Senior Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
BRILIANTcoin	0x4486D0Ba967dF2150B20D63Cb2CFba1a1B304502	cat tablet bus cake rocknroll	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal:14.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
iren0803	0x80Cb1e64D1B37C2Ee65e4bdA435D5711AdC563cd	Интересный проект ,я хочу участвовать в раздаче (Interesting project ,I want to participate in the distribution)	1252	No Vote	Full Member						
khiholangkang	0x711D8CED361142b9d30645eF4561471dC5D31f5d 	You know you're in love when you can't fall asleep because reality is finally better than your dreams.	1252	No Vote	Full Member						
frosbik	0xe53723C804eFDa69632aEB53EC6c41Ce7dBc8D2b	arrow neck habit hover farm	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
Bajank	0x8ae7e918FE0B0EeADdaB84738Ae0c0a5103F5e1a	Life is like a wheel that spins and always is	1252	No Vote	Full Member						
instacalm	0x023BD8D8367654D34db93586664D272BC86856F0	Sunday 060817. BTC @ $3250, ETH @ $262, BCH @ $205. Crypto Market Cap 112B, 4B 24h Vol, BTC Dominance 47.4%	39027	2	Hero Member	Sphere Name: Movement Korea Community✓ Sphere Name: Movement Developer Hub✓ Description: Korean Community / Create a hub for developer encounter and collaboration via The Movement	#1 Airdrop Closing Date Proposal: 25.09.17 #2 Airdrop Participant Hard Cap Proposal: 5000	✓	✓	✓	
hedgeh0g	0xE9EC1e6cb62C235ea34D9C3e2f6f64160E302029	advice is least heeded when most needed	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 10.08.2017 #2 Airdrop Participant Hard Cap Proposal: 5000				
huu78	0xaBe35783EF2E5C6FCb67bEe516ee474eDDd3c08A	I like to join airdrop program	1252	No Vote	Full Member						
vitaxa	0xCF3cCE04Aa3b95283E2CDd549116E0Cb78BeD8Ff 	хорошая раздача, я не против поучаствовать в ней.	1252	No Vote	Full Member			✓			
Farbin	0xb0D6576b4B92500576eF728DF24c861e52E45e24	There is but one chance to join The Movement.	2505	0.5	Jr. Member	Sphere Name: Hivemind K-plane✓ Description: A Sphere of Collective Knowledge regarding the ecosystem where novices and experts alike can gather and share insights with individuals seeking and providing data.	#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 600	✓			
